"age","sex","quantile","value","unit","lab"
20,"female",0.01,3.72500961538461,"x10E6/uL","RBC"
20,"female",0.03,3.91712647058824,"x10E6/uL","RBC"
20,"female",0.1,4.12135527589545,"x10E6/uL","RBC"
20,"female",0.15,4.20139133627019,"x10E6/uL","RBC"
20,"female",0.25,4.32476202661208,"x10E6/uL","RBC"
20,"female",0.35,4.41977475468332,"x10E6/uL","RBC"
20,"female",0.5,4.54996949891068,"x10E6/uL","RBC"
20,"female",0.65,4.68318348930481,"x10E6/uL","RBC"
20,"female",0.75,4.78868120668569,"x10E6/uL","RBC"
20,"female",0.85,4.9278982300885,"x10E6/uL","RBC"
20,"female",0.9,5.02793378995434,"x10E6/uL","RBC"
20,"female",0.97,5.32898636363636,"x10E6/uL","RBC"
20,"female",0.99,5.6577462686567,"x10E6/uL","RBC"
20,"female",1,NA,"x10E6/uL","RBC"
21,"female",0,NA,"x10E6/uL","RBC"
21,"female",0.01,3.69242923976608,"x10E6/uL","RBC"
21,"female",0.03,3.89686714031972,"x10E6/uL","RBC"
21,"female",0.1,4.10332355338223,"x10E6/uL","RBC"
21,"female",0.15,4.18558673811119,"x10E6/uL","RBC"
21,"female",0.25,4.30462305544475,"x10E6/uL","RBC"
21,"female",0.35,4.4023150877193,"x10E6/uL","RBC"
21,"female",0.5,4.53411917098446,"x10E6/uL","RBC"
21,"female",0.65,4.67075139523085,"x10E6/uL","RBC"
21,"female",0.75,4.77519578947368,"x10E6/uL","RBC"
21,"female",0.85,4.90563090676884,"x10E6/uL","RBC"
21,"female",0.9,5.00740647482014,"x10E6/uL","RBC"
21,"female",0.97,5.29050737704918,"x10E6/uL","RBC"
21,"female",0.99,5.58408175182482,"x10E6/uL","RBC"
21,"female",1,NA,"x10E6/uL","RBC"
22,"female",0,NA,"x10E6/uL","RBC"
22,"female",0.01,3.70809436619718,"x10E6/uL","RBC"
22,"female",0.03,3.8997053285968,"x10E6/uL","RBC"
22,"female",0.1,4.10049003690037,"x10E6/uL","RBC"
22,"female",0.15,4.18247380636605,"x10E6/uL","RBC"
22,"female",0.25,4.29892848572114,"x10E6/uL","RBC"
22,"female",0.35,4.39581727794962,"x10E6/uL","RBC"
22,"female",0.5,4.52565615141956,"x10E6/uL","RBC"
22,"female",0.65,4.6624367153037,"x10E6/uL","RBC"
22,"female",0.75,4.76653947948831,"x10E6/uL","RBC"
22,"female",0.85,4.89924725274725,"x10E6/uL","RBC"
22,"female",0.9,5.00490217391304,"x10E6/uL","RBC"
22,"female",0.97,5.28761545667447,"x10E6/uL","RBC"
22,"female",0.99,5.59014133333334,"x10E6/uL","RBC"
22,"female",1,NA,"x10E6/uL","RBC"
23,"female",0,NA,"x10E6/uL","RBC"
23,"female",0.01,3.72272894736842,"x10E6/uL","RBC"
23,"female",0.03,3.9035880733945,"x10E6/uL","RBC"
23,"female",0.1,4.10066975308642,"x10E6/uL","RBC"
23,"female",0.15,4.18381848626926,"x10E6/uL","RBC"
23,"female",0.25,4.29921396283275,"x10E6/uL","RBC"
23,"female",0.35,4.39569533055941,"x10E6/uL","RBC"
23,"female",0.5,4.52392823712948,"x10E6/uL","RBC"
23,"female",0.65,4.65909982608696,"x10E6/uL","RBC"
23,"female",0.75,4.76324967546517,"x10E6/uL","RBC"
23,"female",0.85,4.89690536851683,"x10E6/uL","RBC"
23,"female",0.9,5.00079332715477,"x10E6/uL","RBC"
23,"female",0.97,5.28262494117647,"x10E6/uL","RBC"
23,"female",0.99,5.57811092436975,"x10E6/uL","RBC"
23,"female",1,NA,"x10E6/uL","RBC"
24,"female",0,NA,"x10E6/uL","RBC"
24,"female",0.01,3.69697153284672,"x10E6/uL","RBC"
24,"female",0.03,3.89385971479501,"x10E6/uL","RBC"
24,"female",0.1,4.09021428571429,"x10E6/uL","RBC"
24,"female",0.15,4.17740576725026,"x10E6/uL","RBC"
24,"female",0.25,4.29414499509323,"x10E6/uL","RBC"
24,"female",0.35,4.39120409638554,"x10E6/uL","RBC"
24,"female",0.5,4.51783893985729,"x10E6/uL","RBC"
24,"female",0.65,4.65597194163861,"x10E6/uL","RBC"
24,"female",0.75,4.76062268518519,"x10E6/uL","RBC"
24,"female",0.85,4.89385086489014,"x10E6/uL","RBC"
24,"female",0.9,4.99971940298507,"x10E6/uL","RBC"
24,"female",0.97,5.27721529051987,"x10E6/uL","RBC"
24,"female",0.99,5.57145128205128,"x10E6/uL","RBC"
24,"female",1,NA,"x10E6/uL","RBC"
25,"female",0,NA,"x10E6/uL","RBC"
25,"female",0.01,3.67624074074074,"x10E6/uL","RBC"
25,"female",0.03,3.8901697761194,"x10E6/uL","RBC"
25,"female",0.1,4.08679916317992,"x10E6/uL","RBC"
25,"female",0.15,4.17428368290082,"x10E6/uL","RBC"
25,"female",0.25,4.29047430830039,"x10E6/uL","RBC"
25,"female",0.35,4.38756670746634,"x10E6/uL","RBC"
25,"female",0.5,4.51357767316745,"x10E6/uL","RBC"
25,"female",0.65,4.65010082150859,"x10E6/uL","RBC"
25,"female",0.75,4.75700437636761,"x10E6/uL","RBC"
25,"female",0.85,4.89059586737146,"x10E6/uL","RBC"
25,"female",0.9,4.99495766698025,"x10E6/uL","RBC"
25,"female",0.97,5.27755437665783,"x10E6/uL","RBC"
25,"female",0.99,5.56753684210526,"x10E6/uL","RBC"
25,"female",1,NA,"x10E6/uL","RBC"
26,"female",0,NA,"x10E6/uL","RBC"
26,"female",0.01,3.65867058823529,"x10E6/uL","RBC"
26,"female",0.03,3.88337953488372,"x10E6/uL","RBC"
26,"female",0.1,4.0814856845393,"x10E6/uL","RBC"
26,"female",0.15,4.17021480938416,"x10E6/uL","RBC"
26,"female",0.25,4.28793431053203,"x10E6/uL","RBC"
26,"female",0.35,4.38502124430956,"x10E6/uL","RBC"
26,"female",0.5,4.5106629055007,"x10E6/uL","RBC"
26,"female",0.65,4.64677919243361,"x10E6/uL","RBC"
26,"female",0.75,4.75463798777621,"x10E6/uL","RBC"
26,"female",0.85,4.88510158244002,"x10E6/uL","RBC"
26,"female",0.9,4.98411587982833,"x10E6/uL","RBC"
26,"female",0.97,5.26686644518272,"x10E6/uL","RBC"
26,"female",0.99,5.56029425287356,"x10E6/uL","RBC"
26,"female",1,NA,"x10E6/uL","RBC"
27,"female",0,NA,"x10E6/uL","RBC"
27,"female",0.01,3.6862,"x10E6/uL","RBC"
27,"female",0.03,3.88903282051282,"x10E6/uL","RBC"
27,"female",0.1,4.0816170678337,"x10E6/uL","RBC"
27,"female",0.15,4.17033181473045,"x10E6/uL","RBC"
27,"female",0.25,4.28696650982563,"x10E6/uL","RBC"
27,"female",0.35,4.38347892118356,"x10E6/uL","RBC"
27,"female",0.5,4.50856042031524,"x10E6/uL","RBC"
27,"female",0.65,4.64372846153846,"x10E6/uL","RBC"
27,"female",0.75,4.75367568873852,"x10E6/uL","RBC"
27,"female",0.85,4.8859224229543,"x10E6/uL","RBC"
27,"female",0.9,4.98800862998921,"x10E6/uL","RBC"
27,"female",0.97,5.26363311258278,"x10E6/uL","RBC"
27,"female",0.99,5.55174210526314,"x10E6/uL","RBC"
27,"female",1,NA,"x10E6/uL","RBC"
28,"female",0,NA,"x10E6/uL","RBC"
28,"female",0.01,3.667078,"x10E6/uL","RBC"
28,"female",0.03,3.87296857142857,"x10E6/uL","RBC"
28,"female",0.1,4.07809731543624,"x10E6/uL","RBC"
28,"female",0.15,4.16253527227723,"x10E6/uL","RBC"
28,"female",0.25,4.28310920830994,"x10E6/uL","RBC"
28,"female",0.35,4.3779552581262,"x10E6/uL","RBC"
28,"female",0.5,4.50488737075332,"x10E6/uL","RBC"
28,"female",0.65,4.6368143442623,"x10E6/uL","RBC"
28,"female",0.75,4.75004865860074,"x10E6/uL","RBC"
28,"female",0.85,4.88008887677208,"x10E6/uL","RBC"
28,"female",0.9,4.97929781160799,"x10E6/uL","RBC"
28,"female",0.97,5.25878439490446,"x10E6/uL","RBC"
28,"female",0.99,5.53471041666667,"x10E6/uL","RBC"
28,"female",1,NA,"x10E6/uL","RBC"
29,"female",0,NA,"x10E6/uL","RBC"
29,"female",0.01,3.5876225,"x10E6/uL","RBC"
29,"female",0.03,3.84406096256685,"x10E6/uL","RBC"
29,"female",0.1,4.07045908841296,"x10E6/uL","RBC"
29,"female",0.15,4.1528252007412,"x10E6/uL","RBC"
